customer_id,customer_type,city
C001,Retailer,Faridabad
C002,Individual Homeowner,Noida
C003,Retailer,Delhi
C004,Individual Homeowner,Gurgaon
C005,Retailer,Faridabad
C006,Contractor,Faridabad
C007,Retailer,Noida
C008,Individual Homeowner,Delhi
C009,Retailer,Noida
C010,Contractor,Ghaziabad
C011,Contractor,Gurgaon
C012,Contractor,Noida
C013,Individual Homeowner,Delhi
C014,Retailer,Faridabad
C015,Contractor,Gurgaon
C016,Individual Homeowner,Ghaziabad
C017,Retailer,Faridabad
C018,Retailer,Gurgaon
C019,Contractor,Noida
C020,Retailer,Gurgaon
C021,Retailer,Delhi
C022,Contractor,Ghaziabad
C023,Contractor,Gurgaon
C024,Contractor,Noida
C025,Contractor,Faridabad
C026,Contractor,Noida
C027,Retailer,Ghaziabad
C028,Individual Homeowner,Noida
C029,Retailer,Gurgaon
C030,Individual Homeowner,Delhi
C031,Individual Homeowner,Ghaziabad
C032,Contractor,Delhi
C033,Retailer,Faridabad
C034,Contractor,Gurgaon
C035,Contractor,Faridabad
C036,Retailer,Faridabad
C037,Retailer,Delhi
C038,Retailer,Faridabad
C039,Retailer,Gurgaon
C040,Contractor,Gurgaon
