product_id,month,opening_stock,procured,sold,closing_stock,reorder_level
P001,2024-01,368,83,136,315,120
P001,2024-02,315,96,73,338,120
P001,2024-03,338,195,127,406,120
P001,2024-04,406,179,115,470,120
P001,2024-05,470,233,180,523,120
P001,2024-06,523,93,60,556,120
P001,2024-07,556,138,69,625,120
P001,2024-08,625,149,100,674,120
P001,2024-09,674,202,94,782,120
P001,2024-10,782,158,67,873,120
P001,2024-11,873,167,85,955,120
P001,2024-12,955,245,63,1137,120
P001,2025-01,1137,80,70,1147,120
P001,2025-02,1147,240,117,1270,120
P001,2025-03,1270,131,164,1237,120
P001,2025-04,1237,87,91,1233,120
P001,2025-05,1233,175,105,1303,120
P001,2025-06,1303,118,111,1310,120
P001,2025-07,1310,210,49,1471,120
P001,2025-08,1471,216,47,1640,120
P001,2025-09,1640,152,91,1701,120
P001,2025-10,1701,220,119,1802,120
P001,2025-11,1802,113,63,1852,120
P001,2025-12,1852,140,72,1920,120
P001,2026-01,1920,90,58,1952,120
P001,2026-02,1952,195,76,2071,120
P001,2026-03,2071,208,126,2153,120
P001,2026-04,2153,217,162,2208,120
P001,2026-05,2208,145,99,2254,120
P001,2026-06,2254,230,86,2398,120
P002,2024-01,458,183,61,580,120
P002,2024-02,580,119,52,647,120
P002,2024-03,647,231,127,751,120
P002,2024-04,751,215,150,816,120
P002,2024-05,816,237,119,934,120
P002,2024-06,934,141,101,974,120
P002,2024-07,974,179,44,1109,120
P002,2024-08,1109,89,48,1150,120
P002,2024-09,1150,187,39,1298,120
P002,2024-10,1298,171,124,1345,120
P002,2024-11,1345,227,102,1470,120
P002,2024-12,1470,211,130,1551,120
P002,2025-01,1551,258,99,1710,120
P002,2025-02,1710,247,90,1867,120
P002,2025-03,1867,110,181,1796,120
P002,2025-04,1796,254,137,1913,120
P002,2025-05,1913,85,205,1793,120
P002,2025-06,1793,162,64,1891,120
P002,2025-07,1891,247,59,2079,120
P002,2025-08,2079,190,40,2229,120
P002,2025-09,2229,258,68,2419,120
P002,2025-10,2419,180,87,2512,120
P002,2025-11,2512,202,92,2622,120
P002,2025-12,2622,176,103,2695,120
P002,2026-01,2695,246,73,2868,120
P002,2026-02,2868,100,74,2894,120
P002,2026-03,2894,150,88,2956,120
P002,2026-04,2956,200,86,3070,120
P002,2026-05,3070,168,153,3085,120
P002,2026-06,3085,253,85,3253,120
P003,2024-01,432,102,71,463,120
P003,2024-02,463,190,60,593,120
P003,2024-03,593,136,104,625,120
P003,2024-04,625,164,127,662,120
P003,2024-05,662,93,122,633,120
P003,2024-06,633,236,93,776,120
P003,2024-07,776,152,46,882,120
P003,2024-08,882,225,7,1100,120
P003,2024-09,1100,166,79,1187,120
P003,2024-10,1187,250,94,1343,120
P003,2024-11,1343,144,97,1390,120
P003,2024-12,1390,99,67,1422,120
P003,2025-01,1422,165,47,1540,120
P003,2025-02,1540,86,92,1534,120
P003,2025-03,1534,224,27,1731,120
P003,2025-04,1731,245,113,1863,120
P003,2025-05,1863,118,126,1855,120
P003,2025-06,1855,89,59,1885,120
P003,2025-07,1885,216,63,2038,120
P003,2025-08,2038,204,58,2184,120
P003,2025-09,2184,222,51,2355,120
P003,2025-10,2355,182,107,2430,120
P003,2025-11,2430,184,133,2481,120
P003,2025-12,2481,128,77,2532,120
P003,2026-01,2532,136,87,2581,120
P003,2026-02,2581,193,128,2646,120
P003,2026-03,2646,248,50,2844,120
P003,2026-04,2844,135,141,2838,120
P003,2026-05,2838,145,129,2854,120
P003,2026-06,2854,186,64,2976,120
P004,2024-01,219,197,77,339,120
P004,2024-02,339,104,62,381,120
P004,2024-03,381,202,78,505,120
P004,2024-04,505,240,148,597,120
P004,2024-05,597,244,107,734,120
P004,2024-06,734,106,94,746,120
P004,2024-07,746,187,61,872,120
P004,2024-08,872,160,84,948,120
P004,2024-09,948,168,72,1044,120
P004,2024-10,1044,204,121,1127,120
P004,2024-11,1127,258,114,1271,120
P004,2024-12,1271,183,105,1349,120
P004,2025-01,1349,179,58,1470,120
P004,2025-02,1470,197,84,1583,120
P004,2025-03,1583,170,155,1598,120
P004,2025-04,1598,142,72,1668,120
P004,2025-05,1668,228,101,1795,120
P004,2025-06,1795,199,93,1901,120
P004,2025-07,1901,181,31,2051,120
