transaction_id,date,product_id,customer_id,quantity,unit_price,discount_pct,net_revenue,unit_cost,total_cost
T000001,2024-01-01,P015,C025,4,520,0.0,2080.0,350,1400
T000002,2024-01-01,P013,C021,7,2900,0.0,20300.0,2100,14700
T000003,2024-01-01,P010,C006,3,380,12.0,1003.2,260,780
T000004,2024-01-01,P010,C011,6,380,0.0,2280.0,260,1560
T000005,2024-01-01,P020,C032,3,3100,8.0,8556.0,2200,6600
T000006,2024-01-01,P002,C015,5,900,0.0,4500.0,650,3250
T000007,2024-01-01,P004,C036,8,340,0.0,2720.0,220,1760
T000008,2024-01-01,P014,C025,1,260,8.0,239.2,180,180
T000009,2024-01-01,P011,C024,2,2600,5.0,4940.0,1800,3600
T000010,2024-01-02,P012,C027,3,5200,8.0,14352.0,3800,11400
T000011,2024-01-02,P017,C017,3,420,0.0,1260.0,340,1020
T000012,2024-01-02,P010,C001,4,380,8.0,1398.4,260,1040
T000013,2024-01-02,P019,C006,5,230,0.0,1150.0,150,750
T000014,2024-01-02,P016,C021,13,2100,0.0,27300.0,1400,18200
T000015,2024-01-02,P018,C020,2,78,5.0,148.2,62,124
T000016,2024-01-02,P006,C009,4,82,8.0,301.76,55,220
T000017,2024-01-02,P003,C012,6,1250,0.0,7500.0,900,5400
T000018,2024-01-02,P010,C030,6,380,5.0,2166.0,260,1560
T000019,2024-01-02,P002,C011,6,900,5.0,5130.0,650,3900
T000020,2024-01-03,P018,C024,4,78,8.0,287.04,62,248
T000021,2024-01-03,P004,C034,9,340,12.0,2692.8,220,1980
T000022,2024-01-03,P009,C022,2,600,0.0,1200.0,420,840
T000023,2024-01-03,P007,C015,9,1850,0.0,16650.0,1200,10800
T000024,2024-01-03,P002,C007,4,900,0.0,3600.0,650,2600
T000025,2024-01-03,P020,C007,6,3100,0.0,18600.0,2200,13200
T000026,2024-01-04,P020,C013,15,3100,0.0,46500.0,2200,33000
T000027,2024-01-04,P011,C004,13,2600,0.0,33800.0,1800,23400
T000028,2024-01-04,P017,C024,7,420,0.0,2940.0,340,2380
T000029,2024-01-04,P007,C034,4,1850,0.0,7400.0,1200,4800
T000030,2024-01-04,P016,C029,7,2100,0.0,14700.0,1400,9800
T000031,2024-01-04,P016,C018,2,2100,0.0,4200.0,1400,2800
T000032,2024-01-04,P015,C011,9,520,10.0,4212.0,350,3150
T000033,2024-01-04,P009,C022,3,600,0.0,1800.0,420,1260
T000034,2024-01-04,P006,C025,12,82,8.0,905.28,55,660
T000035,2024-01-04,P011,C009,4,2600,0.0,10400.0,1800,7200
T000036,2024-01-04,P008,C015,5,6200,0.0,31000.0,4200,21000
T000037,2024-01-04,P010,C004,16,380,10.0,5472.0,260,4160
T000038,2024-01-04,P006,C023,3,82,5.0,233.7,55,165
T000039,2024-01-04,P018,C010,2,78,5.0,148.2,62,124
T000040,2024-01-05,P018,C038,1,78,0.0,78.0,62,62
T000041,2024-01-05,P011,C008,15,2600,12.0,34320.0,1800,27000
T000042,2024-01-05,P011,C003,6,2600,12.0,13728.0,1800,10800
T000043,2024-01-05,P002,C032,1,900,8.0,828.0,650,650
T000044,2024-01-05,P013,C033,3,2900,0.0,8700.0,2100,6300
T000045,2024-01-05,P003,C040,5,1250,12.0,5500.0,900,4500
T000046,2024-01-05,P007,C028,2,1850,12.0,3256.0,1200,2400
T000047,2024-01-05,P004,C016,25,340,,7820.0,220,5500
T000048,2024-01-05,P012,C016,2,5200,0.0,10400.0,3800,7600
T000049,2024-01-05,P006,C008,1,82,0.0,82.0,55,55
T000050,2024-01-05,P010,C031,1,380,12.0,334.4,260,260
T000051,2024-01-05,P009,C036,1,600,8.0,552.0,420,420
T000052,2024-01-05,P020,C040,3,3100,8.0,8556.0,2200,6600
T000053,2024-01-06,P012,C008,9,5200,5.0,44460.0,3800,34200
T000054,2024-01-06,P016,C027,3,2100,8.0,5796.0,1400,4200
T000055,2024-01-06,P012,C010,15,5200,5.0,74100.0,3800,57000
T000056,2024-01-06,P005,C010,6,48,10.0,259.2,32,192
T000057,2024-01-06,P016,C019,5,2100,0.0,10500.0,1400,7000
T000058,2024-01-06,P001,C011,8,3200,0.0,25600.0,2400,19200
T000059,2024-01-06,P011,C001,11,2600,8.0,26312.0,1800,19800
T000060,2024-01-06,P011,C037,1,2600,0.0,2600.0,1800,1800
T000061,2024-01-06,P013,C006,3,2900,5.0,8265.0,2100,6300
T000062,2024-01-06,P005,C002,2,48,10.0,86.4,32,64
T000063,2024-01-07,P004,C037,7,340,10.0,2142.0,220,1540
T000064,2024-01-07,P003,C013,9,1250,8.0,10350.0,900,8100
T000065,2024-01-07,P001,C023,10,3200,10.0,28800.0,2400,24000
T000066,2024-01-07,P010,C022,2,380,0.0,760.0,260,520
T000067,2024-01-07,P002,C004,6,900,5.0,5130.0,650,3900
T000068,2024-01-07,P020,C020,13,3100,0.0,40300.0,2200,28600
T000069,2024-01-07,P015,C030,5,520,0.0,2600.0,350,1750
T000070,2024-01-07,P003,C008,9,1250,12.0,9900.0,900,8100
T000071,2024-01-07,P013,C025,20,2900,0.0,58000.0,2100,42000
T000072,2024-01-07,P012,C019,3,5200,8.0,14352.0,3800,11400
T000073,2024-01-07,P011,C032,1,2600,12.0,2288.0,1800,1800
T000074,2024-01-08,P006,C010,5,82,0.0,410.0,55,275
T000075,2024-01-08,P020,C031,4,3100,10.0,11160.0,2200,8800
T000076,2024-01-08,P016,C001,7,2100,12.0,12936.0,1400,9800
